,name,path,msadep,neff_res_med
0,d1wu7a1_6_native,d1wu7a1_6_native/d1wu7a1_6_native.a3m,3503,2749.7875399256977
1,d2dk8a1_3_native,d2dk8a1_3_native/d2dk8a1_3_native.a3m,6701,4739.073053281045
2,d3r6sa2_3_native,d3r6sa2_3_native/d3r6sa2_3_native.a3m,13140,10332.433108332656
3,d1rl6a1_10_native,d1rl6a1_10_native/d1rl6a1_10_native.a3m,7491,6408.968686868687
4,d1ew4a_7_native,d1ew4a_7_native/d1ew4a_7_native.a3m,1187,713.8218885810777
5,d2nzca1_8_native,./d2nzca1_8_native.a3m,1070,688.1076048951049
6,d1w4ha_4_native,./d1w4ha_4_native.a3m,13365,10976.08260027043
7,d1oz9a_7_native,./d1oz9a_7_native.a3m,6865,5843.75
8,d2obpa1_5_native,./d2obpa1_5_native.a3m,8710,7115.944849839316
9,d6d8ha_7_native,./d6d8ha_7_native.a3m,3,2.0
10,d1ug8a1_4_native,./d1ug8a1_4_native.a3m,564,170.83739074475372
11,d3ldaa1_6_native,./d3ldaa1_6_native.a3m,7048,5733.646971171682
12,d1eara2_6_native,./d1eara2_6_native.a3m,1007,432.8471440570543
13,d2ffga1_2_native,./d2ffga1_2_native.a3m,392,138.80155303844705
14,d2ef7a1_9_native,./d2ef7a1_9_native.a3m,7853,6818.778568735186
15,d1tuaa1_6_native,./d1tuaa1_6_native.a3m,6618,4921.45
16,d2qn6b_4_native,./d2qn6b_4_native.a3m,2,1.0
17,d1kmma1_6_native,./d1kmma1_6_native.a3m,4728,3912.10115571563
18,d1j5ya1_7_native,./d1j5ya1_7_native.a3m,15438,13608.95
19,d7k5yu_5_native,./d7k5yu_5_native.a3m,4619,1780.3845033620464
20,d2dita1_9_native,./d2dita1_9_native.a3m,6855,5517.199002664256
21,d3kcca2_4_native,./d3kcca2_4_native.a3m,11952,9476.907818562097
22,d1s12a_8_native,./d1s12a_8_native.a3m,528,383.0340972752737
23,d3vkea1_6_native,./d3vkea1_6_native.a3m,7520,6189.722732446957
24,d6u6sa_3_native,d6u6sa_3_native/d6u6sa_3_native.a3m,2,1.0
25,d1u0sa_2_native,d1u0sa_2_native/d1u0sa_2_native.a3m,856,552.1464868464868
26,d1ku3a_8_native,d1ku3a_8_native/d1ku3a_8_native.a3m,9939,7906.132326760106
27,d1ctfa_7_native,d1ctfa_7_native/d1ctfa_7_native.a3m,13390,6495.340757276211
28,d2fa8a1_3_native,d2fa8a1_3_native/d2fa8a1_3_native.a3m,5986,2861.278478952902
29,d4ixaa_9_native,d4ixaa_9_native/d4ixaa_9_native.a3m,7256,6029.795238095237
30,d6y24a_10_native,d6y24a_10_native/d6y24a_10_native.a3m,7679,5744.31781244332
31,d2p5ka_8_native,d2p5ka_8_native/d2p5ka_8_native.a3m,7364,4912.0336027344565
32,d1p41a1_3_native,d1p41a1_3_native/d1p41a1_3_native.a3m,1580,642.2337896556076
33,d1zzka2_6_native,d1zzka2_6_native/d1zzka2_6_native.a3m,11057,8649.165602584759
34,d2xmka_5_native,d2xmka_5_native/d2xmka_5_native.a3m,6535,5476.079004329004
35,d1wh9a1_7_native,d1wh9a1_7_native/d1wh9a1_7_native.a3m,4375,2251.580596760427
36,d2cmxa_1_native,d2cmxa_1_native/d2cmxa_1_native.a3m,2820,1744.2595144712425
37,d4oo4a_7_native,d4oo4a_7_native/d4oo4a_7_native.a3m,14795,12956.896266233764
38,d1iwga1_4_native,d1iwga1_4_native/d1iwga1_4_native.a3m,7477,5985.941443278944
39,d6j09a1_1_native,d6j09a1_1_native/d6j09a1_1_native.a3m,6319,4703.171114778628
40,d2glia4_6_native,d2glia4_6_native/d2glia4_6_native.a3m,2,1.0
41,d1y81a1_3_native,d1y81a1_3_native/d1y81a1_3_native.a3m,9014,7495.475232997137
42,d3bypa1_4_native,d3bypa1_4_native/d3bypa1_4_native.a3m,1979,1462.7707941310496
43,d2coha4_7_native,d2coha4_7_native/d2coha4_7_native.a3m,9978,8623.880682153245
44,d2p5ma_10_native,d2p5ma_10_native/d2p5ma_10_native.a3m,4806,3426.301301169542
45,d3h90a2_9_native,d3h90a2_9_native/d3h90a2_9_native.a3m,4669,3634.434491396546
46,d2xlia1_7_native,d2xlia1_7_native/d2xlia1_7_native.a3m,444,283.59930069930067
47,d1wi9a1_3_native,d1wi9a1_3_native/d1wi9a1_3_native.a3m,12157,10464.297257866196
